 Abastecimento de água - Brasil
Domicílios por Município e Ano
Período:1991, 2000, 2010
"150835 VITORIA DO XINGU";-;2190;2976
"150840 XINGUARA";9564;8692;11438
"160005 SERRA DO NAVIO";-;727;1146
"160010 AMAPA";1430;1371;1783
"160015 PEDRA BRANCA DO AMAPARI";-;816;2516
"160020 CALCOENE";1024;1329;2246
"160021 CUTIAS";-;565;1032
"160023 FERREIRA GOMES";408;708;1330
"160025 ITAUBAL";-;527;948
"160027 LARANJAL DO JARI";4271;6100;9830
"160030 MACAPA";33233;60400;94442
"160040 MAZAGAO";1450;2215;3539
"160050 OIAPOQUE";1507;2498;4643
"160053 PORTO GRANDE";-;2318;4123
"160055 PRACUUBA";-;412;801
"160060 SANTANA";8774;15794;22335
"160070 TARTARUGALZINHO";849;1295;2816
"160080 VITORIA DO JARI";-;1501;2754
"170025 ABREULANDIA";-;560;760
"170030 AGUIARNOPOLIS";-;697;1322
"170035 ALIANCA DO TOCANTINS";1442;1612;1724
"170040 ALMAS";1512;1890;2079
"170070 ALVORADA";2264;2273;2586
"170100 ANANAS";2294;2296;2640
"170105 ANGICO";-;647;842
"170110 APARECIDA DO RIO NEGRO";644;826;1250
"170130 ARAGOMINAS";-;1460;1691
"170190 ARAGUACEMA";1307;1308;1828
"170200 ARAGUACU";2993;2599;2928
"170210 ARAGUAINA";21882;27542;43848
"170215 ARAGUANA";-;927;1393
"170220 ARAGUATINS";5421;5737;8157
"170230 ARAPOEMA";3009;1699;1957
"170240 ARRAIAS";2807;2740;3159
"170255 AUGUSTINOPOLIS";2018;2922;4306
"170270 AURORA DO TOCANTINS";950;818;1105
"170290 AXIXA DO TOCANTINS";1987;1987;2452
"170300 BABACULANDIA";1879;2212;2524
"170305 BANDEIRANTES DO TOCANTINS";-;622;915
"170307 BARRA DO OURO";-;734;1014
"170310 BARROLANDIA";1413;1297;1572
"170320 BERNARDO SAYAO";928;1200;1344
"170330 BOM JESUS DO TOCANTINS";-;520;1050
"170360 BRASILANDIA DO TOCANTINS";-;503;610
